document id	author id	frequency
58	36593	1
61	62085	1
176	4924	1
176	18676	1
203	36593	1
206	62085	1
243	62085	1
254	38326	1
532	18676	1
589	945	1
589	50967	1
682	945	1
682	23183	1
682	36593	1
682	38326	1
682	39574	1
682	58990	1
808	4924	1
1005	39470	1
1045	4650	1
1045	58617	1
1050	39470	1
1127	25296	1
1127	45657	1
1130	25296	1
1130	45657	1
1203	6016	1
1203	57104	1
1203	60182	1
1204	23183	1
1204	39574	1
1204	39930	1
1204	58990	1
1208	4650	1
1208	58617	1
1269	34242	1
1281	23183	1
1314	6016	1
1314	17232	1
1314	23183	1
1314	36593	1
1314	38326	1
1314	39574	1
1314	39930	1
1314	58990	1
1329	4650	1
1343	30564	1
1351	38326	1
1351	39574	1
1360	6016	1
1400	6016	1
1408	945	1
1439	25296	1
1439	45657	1
1452	25296	1
1452	45657	1
1492	48842	1
1493	4650	1
1493	58617	1
1543	17232	1
1543	31021	1
1570	30564	1
1590	20943	1
1594	48842	1
1596	18676	1
1634	34242	1
1638	20943	1
1641	25296	1
1641	45657	1
1661	25296	1
1661	45657	1
1668	36593	1
1695	25296	1
1695	45657	1
1710	18676	1
1710	30564	1
1715	48842	1
1725	39470	1
1744	39470	1
1760	25296	1
1760	45657	1
1770	36593	1
1773	25296	1
1784	36593	1
1806	4650	1
1806	58617	1
1810	39574	1
1810	39930	1
1810	58990	1
1876	30363	1
1887	50641	1
1947	58990	1
1950	62085	1
1955	34242	1
1976	30564	1
2017	4650	1
2017	58617	1
2018	18676	1
2018	30564	1
2037	39470	1
2045	48842	1
2046	4650	1
2078	4650	1
2078	58617	1
2086	48842	1
2091	50641	1
2096	35334	1
2100	30363	1
2131	57104	1
2131	60182	1
2149	25296	1
2149	45657	1
2179	30564	1
2217	57104	1
2217	60182	1
2234	39574	1
2313	23183	1
2313	36593	1
2313	39574	1
2313	39930	1
2313	58990	1
2331	34242	1
2333	6016	1
2333	17232	1
2333	23183	1
2333	36593	1
2333	38326	1
2333	39574	1
2333	39930	1
2333	58990	1
2334	20943	1
2388	60182	1
2391	57104	1
2391	60182	1
2401	17232	1
2402	30363	1
2451	58617	1
2471	34242	1
2488	50641	1
2492	36593	1
2494	45657	1
2511	60182	1
2520	50641	1
2525	30564	1
2525	50641	1
2536	30363	1
2560	30363	1
2570	25296	1
2570	45657	1
2571	25296	1
2571	45657	1
2592	36593	1
2626	18676	1
2704	38326	1
2709	6016	1
2713	4650	1
2713	58617	1
2723	6016	1
2723	17232	1
2723	23183	1
2723	36593	1
2723	38326	1
2723	39574	1
2723	39930	1
2723	58990	1
2734	47686	1
2735	47686	1
2736	47686	1
2872	45657	1
2874	47686	1
2907	39574	1
2910	34242	1
2933	6016	1
2953	30564	1
2981	45657	1
3029	30564	1
3033	4924	1
3082	45657	1
3102	30363	1
3110	39470	1
3113	47686	1
3118	35334	1
3122	30363	1
3157	35334	1
3162	17232	1
3162	31021	1
3163	17232	1
3163	31021	1
3175	30564	1
3188	36593	1
3196	5398	1
3223	34242	1
3224	18676	1
3226	25296	1
3278	18676	1
3278	30564	1
3281	57104	1
3281	60182	1
3283	18676	1
3284	36593	1
3290	34242	1
3295	58617	1
3302	48842	1
3321	38326	1
3321	39574	1
3335	50641	1
3384	45657	1
3393	34242	1
3397	6016	1
3405	30363	1
3410	20943	1
3428	45657	1
3429	57104	1
3431	20943	1
3467	6016	1
3467	48842	1
3474	5398	1
3474	39470	1
3523	30564	1
3558	18676	1
3566	39470	1
3566	50641	1
3581	39574	1
3581	58990	1
3594	36593	1
3613	4924	1
3613	18676	1
3616	36593	1
3630	23183	1
3652	4650	1
3652	6016	1
3652	58617	1
3668	35334	1
3671	50641	1
3672	30564	1
3674	30363	1
3680	30363	1
3681	45657	1
3725	50641	1
3739	20943	1
3751	20943	1
3757	18676	1
3762	57104	1
3762	60182	1
3778	5398	1
3778	39470	1
3796	36593	1
3819	45657	1
3827	47686	1
3853	30363	1
3853	34242	1
3872	58990	1
3877	35334	1
3878	45657	1
3895	18676	1
3910	30564	1
3925	30363	1
3925	34242	1
3927	18676	1
3953	47686	1
3960	30363	1
3970	18676	1
3971	18676	1
3971	35334	1
3972	18676	1
3973	18676	1
3995	30564	1
3995	50641	1
3996	45657	1
4013	35334	1
4045	50641	1
4046	30564	1
4068	48842	1
4069	48842	1
4070	48842	1
4071	48842	1
4072	48842	1
4073	48842	1
4091	4924	1
4092	36593	1
4108	18676	1
4112	47686	1
4125	30564	1
4137	30564	1
4181	5398	1
4181	39470	1
4181	50641	1
4210	5398	1
4217	30564	1
4217	50641	1
4226	30564	1
4234	35334	1
4254	5398	1
4254	39470	1
4272	30564	1
4279	30363	1
4315	5398	1
4315	39470	1
4318	4650	1
4322	30363	1
4322	34242	1
4324	4650	1
4327	30363	1
4343	58617	1
4349	35334	1
4361	57104	1
4361	60182	1
4367	4924	1
4380	30564	1
4381	35334	1
4389	5398	1
4389	39470	1
4390	5398	1
4390	39470	1
4391	5398	1
4391	39470	1
4392	5398	1
4392	39470	1
4393	5398	1
4393	39470	1
4428	57104	1
4428	60182	1
4431	48842	1
4442	6016	1
4464	57104	1
4464	60182	1
4472	30363	1
4503	48842	1
4509	6016	1
4509	48842	1
4540	30363	1
4563	18676	1
4572	18676	1
4576	18676	1
4607	47686	1
4615	48842	1
4617	34242	1
4626	30363	1
4634	18676	1
4634	35334	1
4635	30564	1
4635	50641	1
4636	18676	1
4636	35334	1
4639	47686	1
4668	20943	1
4681	57104	1
4748	20943	1
4793	25296	1
4801	30363	1
4802	48842	1
4808	35334	1
4844	58990	1
4857	18676	1
4867	18676	1
4870	30564	1
4870	50641	1
4881	5398	1
4881	39470	1
4890	30564	1
4890	50641	1
4891	30564	1
4891	50641	1
4892	30564	1
4892	50641	1
4911	39470	1
4950	39574	1
4956	34242	1
4960	23183	1
5074	34243	1
5085	34243	1
5086	34243	1
5087	34243	1
5185	34243	1
5218	34243	1
5230	34243	1
5359	34243	1
5401	34243	1
5402	34243	1
5408	34243	1
5425	34243	1
5459	34243	1
5466	34243	1
5470	34243	1
5473	34243	1
5474	34243	1
5490	34243	1
5539	34243	1
5541	34243	1
5674	20943	1
5710	4650	1
5710	58617	1
5861	945	1
5861	50967	1
5875	30564	1
5922	945	1
5922	50967	1
6010	6016	1
6177	48842	1
6197	17232	1
6197	31021	1
6197	47486	1
6207	20943	1
6275	17232	1
6275	31021	1
6327	47686	1
6358	50641	1
6404	6016	1
6499	48842	1
6614	4650	1
6645	38326	1
6645	39574	1
6645	58990	1
6673	17232	1
6681	945	1
6681	50967	1
6747	47686	1
6940	4924	1
6940	36593	1
6967	62085	1
6978	17232	1
6978	31021	1
6978	47486	1
6979	17232	1
6979	31021	1
6979	47486	1
7035	18676	1
7049	57104	1
7049	60182	1
7120	62085	1
7220	45657	1
7245	47686	1
7251	17232	1
7251	31021	1
7251	47486	1
7282	48842	1
7324	20943	1
7333	17232	1
7333	31021	1
7333	47486	1
7351	57104	1
7351	60182	1
7418	18676	1
7418	36593	1
7444	5398	1
7450	4924	1
7450	18676	1
7450	36593	1
7452	20943	1
7466	4650	1
7471	35334	1
7491	45657	1
7513	17232	1
7513	31021	1
7513	47486	1
7520	4650	1
7589	17232	1
7589	31021	1
7589	47486	1
7598	6016	1
7598	57104	1
7598	60182	1
7601	17232	1
7601	31021	1
7601	47486	1
7716	4650	1
7716	58617	1
7726	5398	1
7726	39470	1
7788	945	1
7788	6016	1
7788	38326	1
7788	39574	1
7788	39930	1
7788	50967	1
7788	58990	1
7839	6016	1
7839	38326	1
7839	39574	1
7849	45657	1
7854	62085	1
7859	36593	1
7861	36593	1
7884	20943	1
7909	45657	1
7914	20943	1
7914	36593	1
8038	17232	1
8038	31021	1
8086	20943	1
8091	38326	1
8091	39574	1
8091	39930	1
8091	58990	1
8092	38326	1
8103	62085	1
8110	47686	1
8134	35334	1
8146	39930	1
8210	17232	1
8219	4650	1
8219	58617	1
8302	39574	1
8302	39930	1
8317	25296	1
8326	5398	1
8459	945	1
8459	50967	1
8459	62085	1
8468	6016	1
8481	4924	1
8520	35334	1
8551	39470	1
8577	945	1
8577	50967	1
8602	45657	1
8638	4650	1
8655	4924	1
8740	17232	1
8740	47486	1
8777	5398	1
8781	34242	1
8862	945	1
8862	50967	1
8873	17232	1
8906	47686	1
8951	39470	1
8964	62085	1
8972	62085	1
8975	34242	1
8996	17232	1
8996	31021	1
8996	38326	1
8996	39574	1
8996	39930	1
8996	47486	1
9031	48842	1
9067	17232	1
9067	31021	1
9067	47486	1
9073	58617	1
9096	17232	1
