id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
945	"ahinkorah, bright opoku"	0.14	0.4634	3	12	74	31	641	65.8198	2021.5806	20.6774	2.1232
4650	"barros, aluisio j. d."	0.8103	-0.9334	5	2	20	35	2875	106.9242	2019.0571	82.1429	3.055
4924	"baum, fran"	-0.3351	-0.3496	1	3	16	28	708	53.693	2019.6429	25.2857	1.9176
5398	"benach, joan"	-0.9787	-0.0357	1	2	14	26	1104	29.927	2015.5385	42.4615	1.151
6016	"bhutta, zulfiqar a."	0.5744	-0.0595	2	16	81	34	11367	290.3797	2018.1765	334.3235	8.5406
17232	"farzadfar, farshad"	0.6667	0.42	4	11	97	35	9601	248.3551	2020.5714	274.3143	7.0959
18676	"friel, sharon"	-0.5775	-0.2028	1	4	21	42	4862	109.1169	2015.6429	115.7619	2.598
20943	"gostin, lawrence o."	-0.2789	-0.0525	2	1	1	20	400	18.9061	2017.6	20	0.9453
23183	"hay, simon i."	0.364	0.185	2	11	75	21	10344	262.3061	2017.5238	492.5714	12.4908
25296	"hyder, adnan a."	-0.8714	0.4797	7	1	14	21	318	7.5338	2016.7619	15.1429	0.3588
30363	"kunst, anton e."	-0.528	0.295	1	1	3	22	1066	20.1334	2012.6364	48.4545	0.9152
30564	"labonte, ronald"	-0.5626	-0.6078	1	4	15	36	1273	29.1353	2013.9444	35.3611	0.8093
31021	"larijani, bagher"	0.8677	0.7695	4	5	39	20	504	35.5171	2021.35	25.2	1.7759
34242	"mackenbach, johan p."	-0.6669	0.1552	1	2	4	23	1855	45.685	2015.7391	80.6522	1.9863
34243	"mackenbach, jp"	0.0167	-0.0103	8	0	0	20	4345	51.582	2000.25	217.25	2.5791
35334	"marmot, michael"	-0.4559	0.0546	1	2	4	20	5550	75.5784	2014.45	277.5	3.7789
36593	"mckee, martin"	0.0015	0.0114	2	11	51	34	11440	329.7352	2018.2353	336.4706	9.6981
38326	"mokdad, ali h."	0.2575	-0.1981	2	12	106	28	11063	354.4837	2019.7143	395.1071	12.6601
39470	"muntaner, carles"	-1.0927	-0.2882	1	2	15	27	833	20.3882	2014.6296	30.8519	0.7551
39574	"murray, christopher j. l."	0.8725	-0.2802	2	12	115	36	13392	406.2601	2018.5	372	11.285
39930	"naghavi, mohsen"	0.904	0.099	2	12	98	27	11129	283.1271	2019.3333	412.1852	10.4862
45657	"pratt, bridget"	-0.7268	0.7135	7	1	14	44	705	27.4469	2017.7955	16.0227	0.6238
47486	"rezaei, negar"	1.0715	0.4585	4	10	52	20	764	51.4322	2022.1	38.2	2.5716
47686	"ridde, valery"	0.0167	-0.0104	9	0	0	24	422	14.3246	2017.8333	17.5833	0.5969
48842	"rudan, igor"	0.0824	0.2142	2	1	2	25	1277	34.4559	2014.68	51.08	1.3782
50641	"schrecker, ted"	-0.8383	-0.5166	1	3	11	21	529	9.9307	2012.6667	25.1905	0.4729
50967	"seidu, abdul-aziz"	-0.1934	0.4427	3	9	49	22	324	21.1719	2022	14.7273	0.9624
57104	"tugwell, peter"	0.1813	-0.7564	6	2	22	23	756	22.2555	2016.913	32.8696	0.9676
58617	"victora, cesar g."	0.5282	-1.0194	5	2	20	25	1836	84.2109	2018.36	73.44	3.3684
58990	"vos, theo"	0.5238	-0.459	2	11	90	24	11988	343.0586	2017.875	499.5	14.2941
60182	"welch, vivian"	-0.0679	-0.6066	6	3	22	22	709	21.4039	2017.1818	32.2273	0.9729
62085	"yaya, sanni"	0.3472	0.7516	3	11	66	49	1024	47.2969	2020.8163	20.898	0.9652
62785	"zegeye, betregiorgis"	-0.0523	0.8734	3	3	41	22	196	9.1801	2020.9545	8.9091	0.4173
